Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,st_dev,no_days
03/03/2014,130.9,131.16,130.61,130.67,51729,289043,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130670,0.42313788140805997,4995
04/03/2014,130.32,130.52,130.04,130.07,53096,296904,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130070,0.37150908470163213,4996
05/03/2014,129.97,130.23,129.86,130.1,34989,289349,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130100,0.3620787207443247,4997
06/03/2014,130.09,130.09,129.53,129.63,44626,297560,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129630,0.37583994822598427,4998
07/03/2014,129.69,129.75,129.02,129.43,49484,293936,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129430,0.4240055031276125,4999
10/03/2014,129.48,129.86,129.25,129.74,37169,286334,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129740,0.4456298912952558,5000
11/03/2014,129.74,129.87,129.41,129.81,37780,288692,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129810,0.45927551645588155,5001
12/03/2014,129.96,130.32,129.87,130.16,45380,289825,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130160,0.4485242468538586,5002
13/03/2014,130.15,130.8,129.89,130.73,52597,292989,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130730,0.4491057782035552,5003
14/03/2014,130.7,131.15,130.65,130.71,50011,290299,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130710,0.42610562072779024,5004
17/03/2014,130.56,130.68,130.24,130.27,33998,283509,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130270,0.41139518715683404,5005
18/03/2014,130.42,130.64,130.36,130.55,40731,293219,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130550,0.4112002756352105,5006
19/03/2014,130.6,130.64,129.7,129.84,45598,302389,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129840,0.42385138906909536,5007
20/03/2014,129.79,129.8,129.44,129.54,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129540,0.4513025592834487,5008
21/03/2014,129.79,129.8,129.44,128.16,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128160,0.6198298153652846,5009
24/03/2014,129.79,129.8,129.44,128.55,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128550,0.7004113077440554,5010
25/03/2014,129.79,129.8,129.44,128.52,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128520,0.7616893505113334,5011
26/03/2014,129.79,129.8,129.44,128.72,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128720,0.7942728330674654,5012
27/03/2014,129.79,129.8,129.44,128.92,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128920,0.8050772219787331,5013
28/03/2014,129.79,129.8,129.44,128.8,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128800,0.8035695365154344,5014
31/03/2014,129.79,129.8,129.44,128.51,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128510,0.8104591291456958,5015
01/04/2014,129.79,129.8,129.44,128.37,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128370,0.852257394618695,5016
02/04/2014,129.79,129.8,129.44,127.7,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127700,0.9260503946054349,5017
03/04/2014,129.79,129.8,129.44,127.79,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,127790,0.9590623893585749,5018
04/04/2014,129.79,129.8,129.44,128.31,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128310,0.9525535855524442,5019
07/04/2014,129.79,129.8,129.44,128.61,58391,306738,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,128610,0.9216682338828832,5020
08/04/2014,129.95,130.06,129.73,130.02,33814,285808,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130020,0.9198934721017752,5021
09/04/2014,129.88,130.08,129.68,130.06,41462,289874,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130060,0.918404413470518,5022
10/04/2014,130.23,130.59,130.1,130.49,52309,297204,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130490,0.948530793744798,5023
11/04/2014,130.44,130.88,130.41,130.83,54817,295815,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130830,0.9970777301772856,5024
14/04/2014,130.85,130.85,130.54,130.66,36531,294273,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130660,1.0286120097889997,5025
15/04/2014,130.57,131.24,130.55,130.93,59041,298613,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130930,1.071385395962714,5026
16/04/2014,130.79,130.97,130.67,130.88,46763,298702,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130880,1.101091579607341,5027
17/04/2014,130.93,131.0,130.2,130.88,34387,299266,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130880,1.1086896169272047,5028
