Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days.1,Standard Cost,Instrument_Weights,Exchange rate,assetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1988-10-25,94.75,94.8125,94.5313,94.6875,12836,84521,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94688,94.6875,94.375,0.5471615607639045,995,,0.002,,1,rates,-0.6904878937988812,-0.0011418653963392526,2.549249404422221,0.0018017360012025233,8.538124413395145,0.005856559705500107,10.123732861710067,0.006627716977369896,4.736805799536519,0.002961257966270624,-1.9688733287813387,-0.0013639212334896752,-0.6904878937988812,-0.0011418653963392526
1988-10-26,95.0,95.0313,94.5938,94.9688,16181,83434,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94969,94.9688,94.6563,0.42187734470137284,996,,0.002,,1,rates,3.6840216389055316,-0.002051318754065997,4.108832958271844,0.007573374072226708,8.796923391151402,0.02536527416489019,10.285769781309185,0.030075839514181118,4.994162698885442,0.014072221480233555,-1.8001167519773449,-0.0058491782694250795,3.6840216389055316,-0.002051318754065997
1988-10-27,94.8438,95.4375,94.7813,95.4375,31083,83032,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95438,95.4375,95.0938,0.36387902471855466,997,,0.002,,1,rates,10.644985223780733,0.018181770667366984,7.5215698686285375,0.02027834412503932,9.768149709784913,0.04341550060054152,10.499321088799668,0.050763411736271996,5.222629014259319,0.024647716481282615,-1.5211587609809447,-0.00888412533012727,10.644985223780733,0.018181770667366984
1988-10-28,95.5313,95.6875,95.2813,95.5625,16108,82192,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95563,95.5625,95.25,0.39055546812549546,998,,0.002,,1,rates,12.93202969090762,0.013942351308160579,10.045348699016134,0.00985143401261093,11.089077759187658,0.012793909246607458,11.257267894559869,0.013751566586508893,5.727807480597173,0.006840378538649974,-1.31255863748231,-0.0019923493922474477,12.93202969090762,0.013942351308160579
1988-10-31,95.4063,95.8438,95.3438,95.8125,21707,82561,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95813,95.8125,95.4688,0.4419272055721324,999,,0.002,,1,rates,15.263795081906327,0.033831339936971454,12.552383478034065,0.026279525700499455,12.52379238717261,0.029010013758502075,12.034260992773962,0.029450014112647808,6.236134921777238,0.014984453840672464,-1.0563572084497002,-0.003433770143838539,15.263795081906327,0.033831339936971454
1988-11-01,95.7813,95.9375,95.5625,95.6875,20361,82543,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95688,95.6875,95.375,0.45469832158952883,1000,,0.002,,1,rates,12.057210853202738,-0.019913626982265266,12.717381289775632,-0.01637623415268632,13.291544855522268,-0.016338933316598317,12.713433739635828,-0.015700275267806863,6.749409099708975,-0.00813585769312099,-0.8303818856704053,0.0013781568277230268,12.057210853202738,-0.019913626982265266
1988-11-02,95.5625,95.6563,95.3125,95.3125,16622,82245,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95313,95.3125,95.0313,0.4310212640968828,1001,,0.002,,1,rates,3.803614465641935,-0.047252295962910744,9.480064002170584,-0.04983950864706317,12.332584755408368,-0.05208965978650132,12.49847034101328,-0.04982403816970274,6.872543693609557,-0.02645098275522783,-0.6325452984295327,0.0032542725761087045,3.803614465641935,-0.047252295962910744
1988-11-03,95.4688,95.5938,95.3125,95.5938,17243,79377,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95594,95.5938,95.3125,0.4192509577222328,1002,,0.002,,1,rates,5.25437774751861,0.011225775729154744,9.28545065615409,0.027978932498995922,12.386491344991288,0.036397703257141784,12.743086262424473,0.03688728872841429,7.192495555267859,0.020283242397506538,-0.41537233827038955,-0.001866858937161706,5.25437774751861,0.011225775729154744
1988-11-04,94.8438,95.8438,94.5313,94.5625,31170,77070,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94563,94.5625,94.3125,0.4233511946033522,1003,,0.002,,1,rates,-8.363426924560763,-0.05668610067824413,1.5743347618470425,-0.10017475256441,7.718267311112733,-0.13362988524453984,9.62520151939667,-0.13747695836380955,5.760120281916943,-0.07759520665720716,-0.2775672025023252,0.00448118489335346,-8.363426924560763,-0.05668610067824413
1988-11-07,94.375,94.5313,94.1563,94.2188,24837,76541,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94219,94.2188,94.0,0.45492329240445867,1004,,0.002,,1,rates,-14.605565693577164,0.030397988991106226,-3.54788520812823,-0.0057221293604422345,5.152743774684734,-0.028053070454243476,8.69818817281153,-0.03498407679806029,5.583895810759684,-0.020935924292344404,-0.2574765969555424,0.0010088549636488825,-14.605565693577164,0.030397988991106226
