Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
08/09/2004,105.58,105.625,105.49,105.62,525863,608248,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105620,105.84,105.62,0.20217051383693474,1223,0.011,,0.88354833,
09/09/2004,105.58,105.625,105.49,105.39,559549,608248,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105390,105.69,105.39,0.24740941102775565,1224,0.011,,0.88354833,
10/09/2004,105.705,105.805,105.685,105.75,447021,625329,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105750,105.75,105.45,0.2547837318166955,1225,0.011,,0.88354833,
13/09/2004,105.7,105.715,105.635,105.685,311378,627696,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105685,105.69,105.385,0.26451244456883977,1226,0.011,,0.88354833,
14/09/2004,105.685,105.79,105.675,105.74,525619,634608,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105740,105.74,105.44,0.26993317073884143,1227,0.011,,0.88354833,
15/09/2004,105.74,105.77,105.68,105.7,406079,637260,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105700,105.7,105.4,0.27663348194280246,1228,0.011,,0.88354833,
16/09/2004,105.69,105.755,105.64,105.75,443057,670188,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105750,105.75,105.45,0.278748243638963,1229,0.011,,0.88354833,
17/09/2004,105.765,105.84,105.75,105.775,423758,676657,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105775,105.78,105.475,0.27675997422281845,1230,0.011,,0.88354833,
20/09/2004,105.76,105.805,105.735,105.79,251985,675401,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105790,105.79,105.49,0.2760477011891638,1231,0.011,,0.88354833,
21/09/2004,105.795,105.805,105.725,105.77,394939,686271,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105770,105.77,105.47,0.27348826909363044,1232,0.011,,0.88354833,
22/09/2004,105.795,105.845,105.755,105.84,616565,708628,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105840,105.84,105.54,0.26887373120451313,1233,0.011,,0.88354833,
23/09/2004,105.855,105.955,105.83,105.93,694134,677479,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105930,105.93,105.63,0.2622932519118798,1234,0.011,,0.88354833,
24/09/2004,105.87,105.9,105.81,105.85,511261,661344,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105850,105.85,105.565,0.2530172918962581,1235,0.011,,0.88354833,
27/09/2004,105.85,105.92,105.815,105.885,322174,649740,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105885,105.89,105.585,0.2483834401320958,1236,0.011,,0.88354833,
28/09/2004,105.915,105.935,105.83,105.86,422445,661317,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105860,105.86,105.6,0.2442974621205175,1237,0.011,,0.88354833,
29/09/2004,105.86,105.865,105.77,105.83,487002,645167,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105830,105.83,105.54,0.23622464590272013,1238,0.011,,0.88354833,
30/09/2004,105.815,105.915,105.795,105.915,637484,624638,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105915,105.92,105.61,0.22472242136734952,1239,0.011,,0.88354833,
01/10/2004,105.92,105.925,105.85,105.89,409454,629887,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105890,105.89,105.595,0.21156125984029042,1240,0.011,,0.88354833,
04/10/2004,105.86,105.87,105.8,105.82,389630,622280,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105820,105.82,105.515,0.19818404745392085,1241,0.011,,0.88354833,
05/10/2004,105.815,105.895,105.815,105.89,362998,626311,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105890,105.89,105.56,0.17367666317583236,1242,0.011,,0.88354833,
06/10/2004,105.885,105.905,105.86,105.89,330795,655798,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105890,105.89,105.56,0.1480357501818332,1243,0.011,,0.88354833,
07/10/2004,105.865,105.9,105.82,105.87,484793,662208,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,105870,105.87,105.53,0.1305587351803886,1244,0.011,,0.88354833,
08/10/2004,105.89,106.15,105.89,106.055,631011,711761,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106055,106.06,105.73,0.1378867288703587,1245,0.011,,0.88354833,
11/10/2004,106.08,106.085,106.03,106.045,197390,714716,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106045,106.05,105.725,0.14349999999498542,1246,0.011,,0.88354833,
12/10/2004,106.07,106.14,106.055,106.115,444321,725955,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106115,106.12,105.8,0.1467159954874883,1247,0.011,,0.88354833,
13/10/2004,106.085,106.13,106.05,106.125,463988,755422,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106125,106.13,105.81,0.15181897114176154,1248,0.011,,0.88354833,
14/10/2004,106.155,106.185,106.13,106.185,440425,731068,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106185,106.19,105.88,0.1345120812363327,1249,0.011,,0.88354833,
15/10/2004,106.185,106.26,106.145,106.165,623736,744168,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106165,106.17,105.875,0.1433489332544517,1250,0.011,,0.88354833,
18/10/2004,106.205,106.24,106.19,106.22,314160,754871,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106220,106.22,105.93,0.15048034201132776,1251,0.011,,0.88354833,
19/10/2004,106.22,106.225,106.16,106.225,442045,745797,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106225,106.23,105.93,0.1578984378173846,1252,0.011,,0.88354833,
20/10/2004,106.245,106.31,106.24,106.28,418279,752760,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106280,106.28,105.99,0.16431854226418396,1253,0.011,,0.88354833,
21/10/2004,106.3,106.31,106.235,106.255,463200,766191,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106255,106.26,105.985,0.1685662579872292,1254,0.011,,0.88354833,
22/10/2004,106.235,106.265,106.205,106.245,275655,765833,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106245,106.25,105.965,0.17105725162006125,1255,0.011,,0.88354833,
25/10/2004,106.3,106.335,106.295,106.325,322008,758742,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106325,106.33,106.045,0.1773278507881179,1256,0.011,,0.88354833,
26/10/2004,106.3,106.34,106.295,106.3,334246,778665,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106300,106.3,106.03,0.17797424906932574,1257,0.011,,0.88354833,
27/10/2004,106.285,106.33,106.21,106.215,391496,770308,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106215,106.22,105.935,0.17617415625392996,1258,0.011,,0.88354833,
28/10/2004,106.205,106.26,106.12,106.235,667306,763240,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106235,106.24,105.945,0.17768253524693675,1259,0.011,,0.88354833,
29/10/2004,106.22,106.255,106.18,106.25,398386,758088,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106250,106.25,105.965,0.17526479965594513,1260,0.011,,0.88354833,
01/11/2004,106.255,106.295,106.235,106.25,218987,776676,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106250,106.25,105.97,0.17322240039449988,1261,0.011,,0.88354833,
02/11/2004,106.26,106.26,106.155,106.175,363634,754747,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,106175,106.18,105.88,0.16649999999527626,1262,0.011,,0.88354833,
