Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,gbpusd,assetClass
25/07/2014,169.81,169.91,169.54,169.69,72569,238677,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106056,169.69,169.52,0.6478618679851523,6345,0.003,,1.33,,fx
28/07/2014,169.69,169.95,169.66,169.73,47530,235194,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106081,169.73,169.57,0.6678954508922232,6346,0.003,,1.33,,fx
29/07/2014,169.75,169.89,169.26,169.38,75837,235727,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105863,169.38,169.22,0.6926357869201598,6347,0.003,,1.33,,fx
30/07/2014,169.36,169.48,168.83,169.09,92576,235963,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105681,169.09,168.93,0.7390563803408217,6348,0.003,,1.33,,fx
31/07/2014,169.06,169.2,168.49,168.76,106986,230826,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105475,168.76,168.6,0.8292215224669487,6349,0.003,,1.33,,fx
01/08/2014,168.8,168.86,168.05,168.25,133168,228184,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105156,168.25,168.09,0.9539404244093578,6350,0.003,,1.33,,fx
04/08/2014,168.21,168.59,168.08,168.47,63935,227796,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105294,168.47,168.31,1.038776042588348,6351,0.003,,1.33,,fx
05/08/2014,168.52,168.83,168.4,168.69,82318,228546,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105431,168.69,168.53,1.078809065585148,6352,0.003,,1.33,,fx
06/08/2014,168.79,168.79,168.16,168.4,91252,228594,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105250,168.4,168.24,1.1193900124570226,6353,0.003,,1.33,,fx
07/08/2014,168.45,168.59,168.18,168.29,71646,227899,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105181,168.29,168.13,1.1514451788897135,6354,0.003,,1.33,,fx
08/08/2014,168.26,168.29,167.61,167.7,101279,224834,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104813,167.7,167.55,1.2158725262083088,6355,0.003,,1.33,,fx
11/08/2014,167.67,167.91,167.66,167.81,56113,221935,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104881,167.81,167.66,1.2599468242699743,6356,0.003,,1.33,,fx
12/08/2014,167.81,168.11,167.52,168.08,65066,221051,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105050,168.08,167.92,1.2736132327572962,6357,0.003,,1.33,,fx
13/08/2014,168.04,168.42,166.81,166.83,161992,231273,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104269,166.83,166.69,1.3409262967519489,6358,0.003,,1.33,,fx
14/08/2014,166.83,166.93,166.53,166.81,80980,227921,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104256,166.81,166.67,1.390515252219111,6359,0.003,,1.33,,fx
15/08/2014,166.79,166.98,166.73,166.93,74869,230039,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104331,166.93,166.79,1.421409863476079,6360,0.003,,1.33,,fx
18/08/2014,167.12,167.34,167.09,167.23,55978,230120,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104519,167.23,167.09,1.4344856220913822,6361,0.003,,1.33,,fx
19/08/2014,167.21,167.25,166.07,166.15,96849,233039,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103844,166.15,166.01,1.4591866455848894,6362,0.003,,1.33,,fx
20/08/2014,166.1,166.78,165.87,165.95,124887,226310,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103719,165.95,165.81,1.4762508820159923,6363,0.003,,1.33,,fx
21/08/2014,165.93,165.98,165.62,165.83,63504,228755,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103644,165.83,165.69,1.486917617081067,6364,0.003,,1.33,,fx
22/08/2014,165.75,165.95,165.59,165.74,79644,228278,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103588,165.74,165.6,1.4870897753618464,6365,0.003,,1.33,,fx
25/08/2014,165.49,165.95,165.49,165.76,42355,227740,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103600,165.76,165.62,1.4720210596270258,6366,0.003,,1.33,,fx
26/08/2014,165.68,165.93,165.36,165.45,73337,227774,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103406,165.45,165.31,1.459974314837486,6367,0.003,,1.33,,fx
27/08/2014,165.39,166.04,165.34,165.79,85079,227783,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103619,165.79,165.65,1.4231295326327846,6368,0.003,,1.33,,fx
28/08/2014,165.73,166.12,165.65,165.84,76742,228779,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103650,165.84,165.7,1.3928448106847338,6369,0.003,,1.33,,fx
29/08/2014,165.87,166.12,165.6,165.84,87367,227993,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103650,165.84,165.7,1.3488451850816128,6370,0.003,,1.33,,fx
01/09/2014,165.87,166.12,165.6,165.61,87367,227993,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103506,165.61,165.47,1.291580169140742,6371,0.003,,1.33,,fx
02/09/2014,165.86,166.43,164.66,164.72,151953,231175,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102950,164.72,164.59,1.2921813598139813,6372,0.003,,1.33,,fx
03/09/2014,164.66,164.96,164.39,164.53,119284,227630,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102831,164.53,164.4,1.300915318785378,6373,0.003,,1.33,,fx
04/09/2014,164.58,164.64,163.29,163.31,139197,229866,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102069,163.31,163.18,1.4073038051478066,6374,0.003,,1.33,,fx
05/09/2014,163.18,163.39,162.75,163.29,124912,233766,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102056,163.29,163.16,1.5053903148297514,6375,0.003,,1.33,,fx
08/09/2014,161.83,162.32,160.98,161.14,182933,217596,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100713,161.14,161.02,1.7685359293257643,6376,0.003,,1.33,,fx
09/09/2014,160.93,161.55,160.59,160.89,202441,185861,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100556,160.89,160.76,1.9640619474231742,6377,0.003,,1.33,,fx
10/09/2014,161.05,162.3,160.51,161.99,248745,152271,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101244,161.99,161.87,2.022165670755493,6378,0.003,,1.33,,fx
11/09/2014,161.9,162.58,161.74,162.07,139986,129641,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101294,162.19,162.07,2.047131489014569,6379,0.003,,1.33,,fx
12/09/2014,162.6,162.63,161.92,162.44,115456,138777,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101525,162.56,162.44,2.055294626077096,6380,0.003,,1.33,,fx
15/09/2014,162.56,162.61,162.08,162.13,61974,138824,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101331,162.33,162.13,2.0504064637646247,6381,0.003,,1.33,,fx
16/09/2014,162.16,162.99,161.5,162.66,127204,134300,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101663,162.66,162.5,1.9758743212345604,6382,0.003,,1.33,,fx
