Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-10-05,161.22,1.0,1000.0,0.52,1.6122,1612.2,838.344,838.344,-9.91249062881888,121431.62500000003,144.8470138749726,-143.5794667648064,-102,-102.0,-4.0,0.0,9799.999999999443,9799.999999999443,9706510.000000002
2017-10-06,161.16,1.0,1000.0,0.51,1.6116,1611.6,821.9159999999999,821.9159999999999,-10.240055878807876,121331.37500000003,147.62016434769495,-151.16387317591983,-108,-108.0,-6.0,0.0,6120.000000000232,6120.000000000232,9713830.000000002
2017-10-09,161.44,1.0,1000.0,0.49,1.6144,1614.4,791.056,791.056,-9.479113867670147,121422.87500000003,153.49466409457742,-145.49933990322796,-104,-104.0,4.0,0.0,-30240.000000000124,-30240.000000000124,9690950.000000002
2017-10-10,161.48,1.0,1000.0,0.48,1.6148,1614.8,775.1039999999999,775.1039999999999,-8.975329848583888,121136.87500000003,156.28467276649332,-140.2706488357273,-100,-100.0,4.0,0.0,-4159.999999999172,-4159.999999999172,9696030.000000004
2017-10-11,161.26,1.0,1000.0,0.47,1.6126,1612.6000000000001,757.922,757.922,-9.757835184302577,121200.37500000006,159.91140908958977,-156.0389173985802,-111,-111.0,-11.0,0.0,21999.999999999887,21999.999999999887,9698590.000000004
2017-10-12,161.45,1.0,1000.0,0.46,1.6144999999999998,1614.4999999999998,742.67,742.67,-9.330937279680004,121232.37500000006,163.2385514427674,-152.31686851382807,-109,-109.0,2.0,0.0,-21089.99999999975,-21089.99999999975,9571495.000000004
2017-11-01,162.63,1.0,1000.0,0.47,1.6263,1626.3000000000002,764.361,764.361,-2.475998063353919,119643.68750000006,156.5277238111312,-38.7562341017558,-28,-28.0,81.0,0.0,-128620.00000000074,-128620.00000000074,9454465.000000004
2017-11-02,162.69,1.0,1000.0,0.46,1.6269,1626.9,748.374,748.374,-2.5641010843177905,118180.81250000006,157.9167802462406,-40.491458746135976,-29,-29.0,-1.0,0.0,-1680.0000000000637,-1680.0000000000637,9487625.000000004
2017-11-03,162.74,1.0,1000.0,0.45,1.6274000000000002,1627.4,732.33,732.33,-2.61016474900022,118595.31250000006,161.9424473939345,-42.269646755447035,-30,-30.0,-1.0,0.0,-1450.0000000003297,-1450.0000000003297,9584785.000000004
2017-11-06,163.14,1.0,1000.0,0.44,1.6314,1631.3999999999999,717.8159999999999,717.8159999999999,-1.1103691061529877,119809.81250000006,166.90880741025566,-18.533038329318675,-13,-13.0,17.0,0.0,-11999.999999999318,-11999.999999999318,9530405.000000004
2017-11-07,163.28,1.0,1000.0,0.42,1.6328,1632.8,685.776,685.776,0.0170205710864296,119130.06250000006,173.71570673222752,0.29567405352652354,0,0.0,13.0,0.0,-1820.0000000001921,-1820.0000000001921,9422385.000000004
2017-11-08,163.4,1.0,1000.0,0.41,1.6340000000000001,1634.0000000000002,669.94,669.94,0.658343332422995,117779.81250000006,175.8065087918322,11.574104285966737,8,8.0,8.0,0.0,0.0,0.0,9381465.000000002
2017-11-09,162.58,1.0,1000.0,0.42,1.6258000000000001,1625.8000000000002,682.836,682.836,-2.775443923854735,117268.31250000003,171.73715577386082,-47.664684549265615,-34,-34.0,-42.0,0.0,-6559.999999999945,-6559.999999999945,9346870.000000002
2017-11-10,162.19,1.0,1000.0,0.41,1.6219000000000001,1621.9,664.979,664.979,-5.2963801570107885,116835.87500000003,175.6985934894185,-93.0566544172061,-66,-66.0,-32.0,0.0,13260.000000000502,13260.000000000502,9352980.000000002
2017-12-01,163.8,1.0,1000.0,0.46,1.6380000000000001,1638.0000000000002,753.4800000000001,753.4800000000001,0.7871341846388675,116912.25000000003,155.16304347826087,12.213413571434604,9,9.0,75.0,0.0,-106260.0000000009,-106260.0000000009,9343440.000000002
2017-12-04,162.97,1.0,1000.0,0.46,1.6297,1629.6999999999998,749.6619999999999,749.6619999999999,-1.7134884918782023,116793.00000000003,155.7942112578736,-26.69515880916079,-19,-19.0,-28.0,0.0,-7470.000000000113,-7470.000000000113,9256050.0
