Date,PX_CLOSE_1D,near,far,FX_TO_USD,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-12-06,65.565,65.565,65.755,0.6485,0.878465850211133,1.34,0.65565,1000.0,655.65,878.571,569.7532935,9.87002958883553,117943.83362500014,207.00860349655906,204.31810416545602,204,204.0,22.0,65.54,356.6749999998783,2950.674999998994,3307.349999998872,9438814.04000001,204,182,22
2017-12-07,66.055,66.055,66.235,0.6485,0.871271436840324,1.32,0.6605500000000001,1000.0,660.5500000000001,871.9260000000002,565.444011,9.280625324957306,117985.17550000013,208.65934240127643,193.6489177378224,194,194.0,-10.0,65.565,-3177.6500000000588,64824.060000001205,61646.410000001146,9500460.450000012,194,204,-10
2017-12-08,65.82,65.82,66.0,0.6485,0.8760680624170274,1.33,0.6581999999999999,1000.0,658.1999999999999,875.406,567.700791,9.464011849124484,118755.75562500017,209.18722944847926,197.97504181859298,198,198.0,4.0,66.055,-609.5900000000354,-29565.115000001715,-30174.70500000175,9470285.74500001,198,194,4
2017-12-11,65.675,65.675,65.86,0.6485,0.8745385926230533,1.33,0.65675,1000.0,656.75,873.4775000000001,566.45015875,9.96830670231812,118378.57181250013,208.9832088205768,208.3208721158103,208,208.0,10.0,65.82,-940.3249999999741,-18618.43499999949,-19558.759999999464,9450726.98500001,208,198,10
2017-12-12,65.745,65.565,65.745,0.6485,0.8516174806334222,1.3,0.6574500000000001,1000.0,657.45,854.6850000000001,554.2632225,9.9524417880815,118134.08731250014,213.13715670987017,212.1235145032187,212,212.0,4.0,65.675,181.58000000001917,9442.160000000997,9623.740000001017,9460350.72500001,212,208,4
2017-12-13,66.85,66.665,66.85,0.6485,0.8450635084538682,1.26,0.6685,1000.0,668.5,842.3100000000001,546.238035,8.83340762358756,118254.38406250015,216.48874022934004,191.2333288362719,191,191.0,-21.0,65.745,-15048.44249999986,151917.6099999986,136869.16749999873,9597219.89250001,191,212,-21
2017-12-14,67.16,66.975,67.16,0.6485,0.8152932498925122,1.21,0.6716,1000.0,671.6,812.636,526.9944459999999,8.97202085229718,119965.24865625013,227.64044207071234,204.2394793084579,204,204.0,13.0,66.85,2613.455000000019,38397.68500000028,41011.1400000003,9638231.03250001,204,191,13
2017-12-15,67.255,67.065,67.255,0.6485,0.7511005813605932,1.12,0.67255,1000.0,672.55,753.256,488.48651599999994,9.463952128835324,120477.88790625014,246.6350328209472,233.41421439111733,233,233.0,29.0,67.16,1786.6174999999787,12567.929999999847,14354.547499999826,9652585.58000001,233,204,29
2017-12-18,67.205,67.095,67.205,0.6485,0.6783477475848853,1.01,0.67205,1000.0,672.0500000000001,678.7705000000001,440.18266925,5.63279226629034,120657.31975000013,274.10738354506475,154.3989950165721,154,154.0,-79.0,67.255,2561.5749999998543,-7555.02499999957,-4993.449999999716,9647592.13000001,154,233,-79
2017-12-19,67.785,67.785,67.92,0.6485,0.7456418934851381,1.1,0.67785,1000.0,677.8499999999999,745.635,483.54429749999997,6.654340426833594,120594.90162500013,249.39783645158207,165.95781054645954,166,166.0,12.0,67.205,4513.559999999987,57924.01999999983,62437.57999999981,9710029.71000001,166,154,12
