Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
31/12/2012,1388.25,1425.75,1383.5,1420,1478128,2755128,Future,CME,USD,0.25,12.5,50,69200,ES1 Index,14.495708525831017,3858,0.001,,1
02/01/2013,1443,1458,1438.25,1457,1939320,2765822,Future,CME,USD,0.25,12.5,50,71000,ES1 Index,16.155270780744367,3859,0.001,,1
03/01/2013,1456,1460.5,1450,1453.5,1598235,2768605,Future,CME,USD,0.25,12.5,50,72850,ES1 Index,16.797697481078416,3860,0.001,,1
04/01/2013,1454,1463,1451.25,1457.75,1509781,2754086,Future,CME,USD,0.25,12.5,50,72675,ES1 Index,17.927467259277996,3861,0.001,,1
07/01/2013,1460.25,1460.75,1450.75,1455.75,1189020,2764168,Future,CME,USD,0.25,12.5,50,72887.5,ES1 Index,18.908078053197528,3862,0.001,,1
08/01/2013,1456.75,1457,1446,1452.25,1366989,2788837,Future,CME,USD,0.25,12.5,50,72787.5,ES1 Index,19.4741315338871,3863,0.001,,1
09/01/2013,1451.5,1459.5,1451.25,1455.75,1186764,2777505,Future,CME,USD,0.25,12.5,50,72612.5,ES1 Index,19.80267466781007,3864,0.001,,1
10/01/2013,1456.5,1470.25,1454.75,1467,1536010,2772956,Future,CME,USD,0.25,12.5,50,72787.5,ES1 Index,20.545284714481696,3865,0.001,,1
11/01/2013,1469.75,1471.5,1462.25,1467.25,1122234,2775649,Future,CME,USD,0.25,12.5,50,73350,ES1 Index,21.12769171803768,3866,0.001,,1
14/01/2013,1466.75,1471.25,1460.25,1464.25,1168418,2797558,Future,CME,USD,0.25,12.5,50,73362.5,ES1 Index,21.48910632543296,3867,0.001,,1
15/01/2013,1465,1468.25,1456.5,1465.25,1323808,2830204,Future,CME,USD,0.25,12.5,50,73212.5,ES1 Index,21.82984002840503,3868,0.001,,1
16/01/2013,1467,1469,1460,1465.5,1230091,2811077,Future,CME,USD,0.25,12.5,50,73262.5,ES1 Index,22.168916091359698,3869,0.001,,1
17/01/2013,1465,1480.5,1460.5,1475.75,1740296,2855894,Future,CME,USD,0.25,12.5,50,73275,ES1 Index,23.218313152891614,3870,0.001,,1
18/01/2013,1475.5,1481,1470.5,1479,1447673,2853060,Future,CME,USD,0.25,12.5,50,73787.5,ES1 Index,24.173452187590645,3871,0.001,,1
22/01/2013,1478,1491.5,1475,1489.5,1473299,2928094,Future,CME,USD,0.25,12.5,50,73950,ES1 Index,25.21772208849136,3872,0.001,,1
23/01/2013,1490.5,1491.25,1484.5,1490.25,1190361,2972476,Future,CME,USD,0.25,12.5,50,74475,ES1 Index,25.78287737367003,3873,0.001,,1
24/01/2013,1483.25,1497.75,1482.75,1491.75,1822913,2945028,Future,CME,USD,0.25,12.5,50,74512.5,ES1 Index,26.852855819552904,3874,0.001,,1
25/01/2013,1487.75,1499.25,1486.75,1495.75,1573008,2944510,Future,CME,USD,0.25,12.5,50,74587.5,ES1 Index,28.203472581682004,3875,0.001,,1
28/01/2013,1495.75,1500,1491.25,1497,1203634,2939527,Future,CME,USD,0.25,12.5,50,74787.5,ES1 Index,29.24580851448083,3876,0.001,,1
29/01/2013,1495.5,1505.75,1491,1505,1496138,2964345,Future,CME,USD,0.25,12.5,50,74850,ES1 Index,30.71496457753133,3877,0.001,,1
30/01/2013,1505,1506,1493.5,1495.25,1798387,2983094,Future,CME,USD,0.25,12.5,50,75250,ES1 Index,31.090181327856474,3878,0.001,,1
31/01/2013,1494.25,1500,1491.25,1493.25,1638725,2986380,Future,CME,USD,0.25,12.5,50,74762.5,ES1 Index,30.482382206759773,3879,0.001,,1
01/02/2013,1496,1510.5,1495.75,1506.75,1771608,2952773,Future,CME,USD,0.25,12.5,50,74662.5,ES1 Index,29.73128613092564,3880,0.001,,1
04/02/2013,1508,1508.5,1490.25,1493.5,1740191,2942926,Future,CME,USD,0.25,12.5,50,75337.5,ES1 Index,27.647343904956934,3881,0.001,,1
05/02/2013,1492.5,1511,1492.25,1506,1741561,2964032,Future,CME,USD,0.25,12.5,50,74675,ES1 Index,21.77189989410528,3882,0.001,,1
06/02/2013,1507.25,1510.25,1499,1506.75,1739209,2991919,Future,CME,USD,0.25,12.5,50,75300,ES1 Index,19.24070663,3883,0.001,,1
07/02/2013,1507.25,1511,1494.5,1505.25,1959424,3000249,Future,CME,USD,0.25,12.5,50,75337.5,ES1 Index,19.31266855371333,3884,0.001,,1
08/02/2013,1505,1515,1503.75,1512.5,1428025,3039366,Future,CME,USD,0.25,12.5,50,75262.5,ES1 Index,19.36605707586289,3885,0.001,,1
11/02/2013,1513.5,1517,1509.75,1513,1229887,3024409,Future,CME,USD,0.25,12.5,50,75625,ES1 Index,19.426587236711725,3886,0.001,,1
12/02/2013,1512.5,1519,1508.5,1516.25,1258547,3034816,Future,CME,USD,0.25,12.5,50,75650,ES1 Index,19.272859803332118,3887,0.001,,1
13/02/2013,1517.5,1522,1513,1517.25,1268482,3040795,Future,CME,USD,0.25,12.5,50,75812.5,ES1 Index,18.565688558886023,3888,0.001,,1
14/02/2013,1516.25,1520.75,1510,1518.5,1369257,3100819,Future,CME,USD,0.25,12.5,50,75862.5,ES1 Index,17.83007174220587,3889,0.001,,1
15/02/2013,1518.75,1521.75,1511.25,1517,1674261,3133021,Future,CME,USD,0.25,12.5,50,75925,ES1 Index,17.53552940933162,3890,0.001,,1
19/02/2013,1516,1529,1515.25,1528,1498174,3091729,Future,CME,USD,0.25,12.5,50,75850,ES1 Index,17.666399369014744,3891,0.001,,1
20/02/2013,1528.75,1530,1506.5,1507,2017382,3098220,Future,CME,USD,0.25,12.5,50,76400,ES1 Index,16.285550855452136,3892,0.001,,1
21/02/2013,1507.75,1509.75,1495,1501,2503581,3092934,Future,CME,USD,0.25,12.5,50,75350,ES1 Index,14.624914529625313,3893,0.001,,1
22/02/2013,1502.25,1515,1502,1514.5,1761451,3098934,Future,CME,USD,0.25,12.5,50,75050,ES1 Index,12.832924777001226,3894,0.001,,1
25/02/2013,1515.5,1524.5,1481.75,1487.25,3093507,3122471,Future,CME,USD,0.25,12.5,50,75725,ES1 Index,11.99294063183993,3895,0.001,,1
26/02/2013,1485.5,1497.75,1482.75,1492.5,2932756,3129679,Future,CME,USD,0.25,12.5,50,74362.5,ES1 Index,11.11617627598786,3896,0.001,,1
27/02/2013,1493.25,1519.25,1490,1515.75,2452639,3104677,Future,CME,USD,0.25,12.5,50,74625,ES1 Index,10.924628140071034,3897,0.001,,1
28/02/2013,1516.25,1524.5,1508.75,1513.25,2193202,3042309,Future,CME,USD,0.25,12.5,50,75787.5,ES1 Index,10.58694164204952,3898,0.001,,1
01/03/2013,1512.5,1519,1499.5,1516.5,2544889,2999850,Future,CME,USD,0.25,12.5,50,75662.5,ES1 Index,10.353511884001437,3899,0.001,,1
04/03/2013,1514.75,1527.5,1507,1525.75,1980276,2963953,Future,CME,USD,0.25,12.5,50,75825,ES1 Index,10.728243487736231,3900,0.001,,1
05/03/2013,1526.75,1542.75,1524.5,1537,2366293,2818916,Future,CME,USD,0.25,12.5,50,76287.5,ES1 Index,11.907779319929851,3901,0.001,,1
06/03/2013,1539,1544.75,1537,1539,2089206,2486972,Future,CME,USD,0.25,12.5,50,76850,ES1 Index,13.208464773223154,3902,0.001,,1
07/03/2013,1539.75,1545.5,1537.5,1542.75,1670257,2134086,Future,CME,USD,0.25,12.5,50,76950,ES1 Index,14.204789391802656,3903,0.001,,1
08/03/2013,1542.75,1553.5,1540.25,1549.5,1135710,1842055,Future,CME,USD,0.25,12.5,50,77137.5,ES1 Index,15.346857713077943,3904,0.001,,1
11/03/2013,1547.25,1557.25,1545.5,1556,754879,1569495,Future,CME,USD,0.25,12.5,50,77475,ES1 Index,17.246968332592594,3905,0.001,,1
12/03/2013,1556.75,1557,1547.5,1552.5,794855,1258168,Future,CME,USD,0.25,12.5,50,77800,ES1 Index,17.883756596385872,3906,0.001,,1
13/03/2013,1553,1557,1548,1556,504388,1036882,Future,CME,USD,0.25,12.5,50,77625,ES1 Index,19.053532043484754,3907,0.001,,1
