,AD1,RX1
2020-10-14,635.4584308605795,416.53308624829344
2020-10-15,636.717116124486,418.6068202184407
2020-10-16,626.5922776528407,460.3397637569309
2020-10-19,630.1617538842852,495.0187431450666
2020-10-20,913.2495061198474,518.7828878976177
2020-10-21,914.9932540472931,514.2266897303465
2020-10-22,936.2553888153245,513.6563451397336
2020-10-23,951.369908688608,513.8659846665618
2020-10-26,941.7318605274744,510.9476454607096
2020-10-27,893.8647858360412,508.19117818133543
2020-10-28,892.3405137542779,523.2636202841517
2020-10-29,899.3231639654641,509.2462966545893
2020-10-30,901.4897335071499,498.90698473829025
2020-11-02,868.7197062865629,494.83340291934184
2020-11-03,869.8005244716448,490.15158313246076
2020-11-04,945.0958468227476,491.70380351154336
2020-11-05,975.3024133454633,512.9280963531553
2020-11-06,981.7469096759213,512.5821460982269
2020-11-09,1017.4817029261272,510.9638131445562
2020-11-10,991.3633413349028,512.3145021056737
2020-11-11,1007.7728926644759,510.3973731352508
2020-11-12,1008.363342336756,496.4118526348861
2020-11-13,1013.8833998026608,496.45825380985895
2020-11-16,1008.3018756308232,479.68098510550215
2020-11-17,981.1821543350339,459.66259703034706
2020-11-18,967.7738309386027,455.7889363971791
2020-11-19,968.3031355768493,446.7249072324673
2020-11-20,967.860340062001,409.7407441849439
2020-11-23,971.1057165485602,390.5128468073261
2020-11-24,823.545678466039,365.97556271655543
2020-11-25,828.5537013392478,370.1874021531508
2020-11-26,861.8450128301761,372.4497797670101
2020-11-27,848.7424971297576,386.29864796525464
2020-11-30,841.4009781146062,423.5926112861369
2020-12-01,860.1529999450096,437.13894280360364
2020-12-02,851.4976030765698,458.12727671486084
2020-12-03,844.1065119046384,470.8010702249793
2020-12-04,852.5537381553326,471.28546511398656
2020-12-07,868.1910803222621,471.12916479710117
2020-12-08,880.0435805927224,476.6702172744514
2020-12-09,786.8846024664639,476.92743865487324
2020-12-10,737.5269156302505,450.7141883041939
2020-12-11,726.6152054638908,435.87737312316614
2020-12-14,761.4662637424585,430.0410373349376
2020-12-15,763.3792381301214,445.1971714292388
2020-12-16,759.144248416773,449.6818096630766
2020-12-17,781.6227446487609,460.6654698423018
2020-12-18,850.5401401205639,459.86437134316475
2020-12-21,859.98106763021,480.92664069522834
2020-12-22,883.7679261364559,481.37805016377916
2020-12-23,875.2259160971894,566.7075837759621
2020-12-24,904.9997571281009,564.9485685228381
2020-12-25,909.262132539313,563.8304166914834
2020-12-28,905.652282139619,543.3853950500031
2020-12-29,850.7205001577231,539.2953591569035
2020-12-30,853.135218776922,536.9200884919231
2020-12-31,783.2781125549969,536.4212564300444
2021-01-01,921.8111383471501,597.9434124822909
2021-01-04,922.3511165470492,570.2934178276239
2021-01-05,908.2771731344263,576.5249027183492
2021-01-06,911.1234658168984,551.2287204623195
2021-01-07,966.6930961050084,537.2244185584595
2021-01-08,974.4696890844924,567.1393625754719
2021-01-11,958.203183184673,569.7163971917232
2021-01-12,946.614228672045,600.0535669597512
2021-01-13,990.5371571209605,598.7090539575042
2021-01-14,1000.925941540418,601.3466941480914
2021-01-15,1026.4256475857048,597.9415593349939
2021-01-18,982.7398573968886,599.7148280401358
2021-01-19,980.876664576578,576.1145130936068
2021-01-20,972.7253709345902,589.2680072570876
2021-01-21,961.7105958696476,571.0958175395015
2021-01-22,887.8837917015677,556.9567806217403
2021-01-25,867.0470880569685,552.7075850246257
2021-01-26,842.1918889637792,538.4576986865026
2021-01-27,843.5197591740966,478.8252954609339
2021-01-28,827.8058860731878,500.92291123272116
2021-01-29,883.6336318575366,502.1247862367385
2021-02-01,886.7228197338175,492.2111470979519
2021-02-02,968.0549684066531,492.10093730416924
2021-02-03,988.1920834442185,492.9929488189733
2021-02-04,986.7651838765199,496.9676520552305
2021-02-05,867.2043420463601,436.25693847932644
2021-02-08,854.664581799845,435.887732354447
2021-02-09,855.4432693095731,461.8317525406441
2021-02-10,829.2705950877579,454.52097506595453
2021-02-11,785.5912379800217,454.2988540000284
2021-02-12,753.8540375218618,423.08874962159916
2021-02-15,767.685157502226,437.44830239493837
2021-02-16,771.4764592486919,412.75638825850876
2021-02-17,739.2033089898124,422.24253184295065
2021-02-18,720.8423491802537,417.94323139345295
2021-02-19,699.7890049613077,419.9118414814519
2021-02-22,715.7047055276298,408.40710226061924
2021-02-23,702.5424717613954,403.31219125016474
2021-02-24,711.288367284881,382.3182258354849
2021-02-25,714.7322060277783,377.2875572226507
2021-02-26,719.2187802019898,375.8388887941226
2021-03-01,727.4691945603905,378.9088747555752
2021-03-02,722.7590629413605,377.1797153926262
2021-03-03,723.4464308238244,377.95252459223366
2021-03-04,749.2501669561088,351.10944258210236
2021-03-05,712.8080572732626,353.25175439817554
2021-03-08,684.1148050132675,371.44747244676
2021-03-09,593.0782250942688,378.4751333628776
2021-03-10,490.97596221521997,361.8470253357909
2021-03-11,517.4979298845174,351.6911025322172
2021-03-12,527.0020496623227,382.79898689025174
2021-03-15,539.9909579703979,383.8811585372603
2021-03-16,554.2038670617195,360.6782237075732
2021-03-17,549.8095357234157,387.9776777628503
2021-03-18,538.7733726140528,388.8123522522375
2021-03-19,524.4439220135079,399.6827029602255
2021-03-22,517.4731874384421,376.08987512690976
2021-03-23,522.0490130612795,369.78923861835267
2021-03-24,494.21047961254914,362.4371489794869
2021-03-25,487.6367881917971,387.21385651859
2021-03-26,517.8085364990894,444.3091935569186
2021-03-29,596.9319454319791,447.1407312194485
2021-03-30,626.3793213512728,450.7837661652471
2021-03-31,639.0428185462199,465.0214264447427
2021-04-01,644.6690839949016,480.8979480145755
2021-04-02,648.5354614502719,486.47857241058637
2021-04-05,651.3114549576676,484.7624540403557
2021-04-06,653.441225447881,481.9033174221341
2021-04-07,655.0378564360564,502.65385930822026
2021-04-08,656.9820525707287,513.7818110506402
2021-04-09,641.7971799655996,521.1444351976745
2021-04-12,654.3465439848936,514.2519545159257
2021-04-13,665.2836826228578,503.98371510819936
2021-04-14,662.9723453098821,503.5397895850314
2021-04-15,665.0614548788291,522.1578699168555
2021-04-16,659.3253689908177,516.4702594204252
2021-04-19,653.1524914105779,525.831951414632
2021-04-20,627.8558883976758,518.0714893194879
2021-04-21,639.6440078659932,490.7671125784908
2021-04-22,632.6268255767903,494.7877842947643
2021-04-23,632.4781968226581,502.7260375226219
2021-04-26,633.8127413438607,504.36221792089646
2021-04-27,635.7136222627491,494.5934546790201
2021-04-28,637.8449403966055,493.3592631605108
2021-04-29,661.9835856563116,475.14959391782077
2021-04-30,678.4403262341038,487.26392021043665
2021-05-03,578.1293969849174,489.2485916808597
2021-05-04,563.7400194541964,489.1169178018989
2021-05-05,545.8786911115579,469.66137572208544
2021-05-06,576.2415198877593,440.5090223643475
2021-05-07,583.7909637685419,440.63647790131546
2021-05-10,570.4504896180721,460.39930201734114
2021-05-11,556.8611648703669,485.3412147996606
2021-05-12,567.2022030452104,467.39808003753853
2021-05-13,557.2127162261385,463.87594281874107
2021-05-14,554.6569348566187,452.95728746806594
2021-05-17,556.290525459737,447.85749215540085
2021-05-18,531.5487364028164,451.62506762865536
2021-05-19,546.7462109158829,451.9536325205182
2021-05-20,609.8713201948076,452.94492650692143
2021-05-21,608.3261064330367,467.5735095107434
2021-05-24,610.1651971725804,493.114142774535
2021-05-25,620.942967150072,496.5349460637654
2021-05-26,608.8049121473666,498.2243854198036
2021-05-27,609.660322201985,495.7802600431038
2021-05-28,608.0859193243068,479.38930144016905
2021-05-31,603.8773820056717,482.74590993410027
2021-06-01,608.1999795721867,520.4925056721086
2021-06-02,606.8868453260075,521.2119784537915
2021-06-03,567.3144503423214,529.4271409472352
2021-06-04,562.0879481201061,490.80990937548637
2021-06-07,559.3369990996925,490.6820684952754
2021-06-08,642.9209759534172,487.20435086810346
2021-06-09,662.6087145767323,515.7078691521274
2021-06-10,640.3138993746464,513.9510878993399
2021-06-11,632.2482808436715,507.7406581398328
2021-06-14,712.9584938947963,496.498595698104
2021-06-15,729.7317592850757,492.6316667836851
2021-06-16,715.1671277622152,547.6490398855384
2021-06-17,724.7882130767716,540.6001481955807
2021-06-18,803.4843123749265,544.0921061148133
2021-06-21,808.2161266164613,545.9485318975517
2021-06-22,800.4816319903559,547.6989349124816
2021-06-23,799.0834477299007,573.5263900110891
2021-06-24,766.1107459842459,538.568315831892
2021-06-25,827.2286229542284,529.1966691056138
2021-06-28,841.54186433869,507.72997650427794
2021-06-29,842.5756067934994,505.92853232444367
2021-06-30,849.0485536207702,502.4285751128976
2021-07-01,854.0167198587795,503.2845573692762
2021-07-02,876.8906647807089,509.1000677603695
2021-07-05,932.7429337243635,515.8155187970176
2021-07-06,940.1875548217297,499.5954902233128
2021-07-07,943.2978395637386,496.35626772721224
2021-07-08,978.5372446049735,481.36906615718357
