,AD1,RX1
2021-07-01,146.1699741457508,248.03384096326192
2021-07-02,142.35708837545255,245.20052101142963
2021-07-05,133.8328036036196,242.00823223180328
2021-07-06,132.77308471230106,249.86534967719302
2021-07-07,132.33529923012387,251.4959717007175
2021-07-08,127.56959691625238,259.326181589398
2021-07-09,126.8799615276681,285.44467394357144
2021-07-12,128.24975387178256,298.0199857223802
2021-07-13,133.04012360168642,284.89589807911017
2021-07-14,130.7407558718808,297.8452188057584
2021-07-15,132.18811644323583,301.26113504894465
2021-07-16,132.27923172836807,299.50725742952585
2021-07-19,143.60718246932623,297.5290415360273
2021-07-20,144.95194038834498,299.41480165376487
2021-07-21,144.33238989494257,347.5980696627805
2021-07-22,143.67219589105025,320.9004881074608
2021-07-23,155.81533521986472,330.57561226706923
2021-07-26,156.570473492859,333.8636857813092
2021-07-27,157.42431174807857,302.4377658272513
2021-07-28,155.3088441512267,316.70263682312736
2021-07-29,152.46394398329616,316.0937137534293
2021-07-30,156.31119035309058,317.8426020341602
2021-08-02,152.0977835146517,303.8539567999013
2021-08-03,152.52689502292745,306.12236132466387
2021-08-04,152.89314708576526,304.72656700836114
2021-08-05,144.5795791332124,303.81955823651157
2021-08-06,149.5846334010307,307.7016321024563
2021-08-09,154.46087306979368,308.52515155296436
2021-08-10,159.1249677811332,321.54578597117376
2021-08-11,144.66942945409448,315.01960280523025
2021-08-12,145.7216732651509,300.811707796183
2021-08-13,149.62689911335534,300.612962912433
2021-08-16,147.0467233324732,302.6534056296412
2021-08-17,149.21204788166148,303.4708857959556
2021-08-18,155.07263918095114,278.8567541679932
2021-08-19,153.7599802328925,277.85414812828105
2021-08-20,152.83606256084238,277.442658191161
2021-08-23,150.35770744491688,271.18085652166013
2021-08-24,141.96259798727758,270.70316670433766
2021-08-25,138.35975365215853,267.5865405503062
2021-08-26,133.10506492400577,265.79164481819083
2021-08-27,133.16454625931496,250.99567220207513
2021-08-30,131.92111087266508,227.69108639122717
2021-08-31,127.51312371010759,247.36511620100384
2021-09-01,127.85958475200371,246.94445167095873
2021-09-02,126.95356866553753,242.71504125256274
2021-09-03,129.97091484784573,239.87463412987427
2021-09-06,126.32348209826377,252.5612888793725
2021-09-07,126.26950173290186,251.69543829813878
2021-09-08,127.74013399702058,246.22693184842905
2021-09-09,131.44139109502183,243.00089356664267
2021-09-10,124.40055699966645,239.9810187107883
2021-09-13,126.56492902373633,240.47830750775205
2021-09-14,123.29823850476653,220.8017514952405
2021-09-15,129.85557700871,222.7736231044499
2021-09-16,136.18829048583697,219.57172515413131
2021-09-17,133.8790043422208,216.3983582237241
2021-09-20,137.0219327019357,217.51007433434364
2021-09-21,138.24037664519375,223.644422003603
2021-09-22,144.90207282594596,231.72819223209052
2021-09-23,140.73760442490462,231.40433512177157
2021-09-24,142.78265586862156,227.89039268963188
2021-09-27,145.19556861993235,228.019309979788
2021-09-28,151.11021174788928,228.10440985397966
2021-09-29,153.4928587673247,221.50225990083578
2021-09-30,164.80189835479945,238.17298567684617
2021-10-01,163.86558370993117,245.80611312631552
2021-10-04,168.5733303914285,273.6741671918357
2021-10-05,181.4361609175257,273.16408867361895
2021-10-06,156.05823534746946,272.3501513979694
2021-10-07,169.26377177311403,270.3403636443969
2021-10-08,173.64819213112105,272.3144618459369
2021-10-11,180.50972736330954,269.5279794362384
2021-10-12,180.78687405740703,273.2276539080967
2021-10-13,183.38849654279812,279.4112282133075
2021-10-14,178.49589731613656,276.10991884944036
2021-10-15,189.60291466145063,259.1039221471884
2021-10-18,189.6020573511707,259.4254049310735
2021-10-19,197.3052920133998,261.080716995936
2021-10-20,202.55153820284468,271.91842907490644
2021-10-21,181.23841263376818,291.4647348918877
2021-10-22,177.46135017509806,296.4333632037461
2021-10-25,163.49458559185825,290.10706233354875
2021-10-26,151.77479036750736,286.2249368466286
2021-10-27,152.04702277497546,257.94220696089053
2021-10-28,153.4455437482201,256.2438313633558
2021-10-29,154.72795561686542,234.62627695005807
2021-11-01,126.87434595872098,233.0597897213796
2021-11-02,124.22545735970122,229.83209087581264
2021-11-03,125.8007285215941,232.16155690411344
2021-11-04,125.9047928470679,233.4417157065112
2021-11-05,124.73742176421086,231.3629256111472
2021-11-08,125.15373098645253,233.14373702156126
2021-11-09,127.63831253798166,234.36604003597122
2021-11-10,132.70977470789657,233.26218437978645
2021-11-11,132.69259485414298,229.22543755945347
2021-11-12,132.51059789558747,224.62687123056503
2021-11-15,124.97570916577196,227.71768935838566
2021-11-16,122.75444673143606,227.5678738040944
2021-11-17,122.84992605547171,238.11095160897318
2021-11-18,118.64813069369026,226.4788399807859
2021-11-19,119.30821368033295,246.15209420111606
2021-11-22,120.22734019844152,248.51485129546626
2021-11-23,114.74156350263391,249.76998149218457
2021-11-24,114.22669931132064,251.31448481071922
2021-11-25,122.46419510444396,228.15449057405962
2021-11-26,127.97908752863452,229.1054302040516
2021-11-29,129.64917040638812,229.79823109609785
2021-11-30,133.62759377183718,229.34867390613752
