Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
19/04/2016,173.6563,173.6563,172.2813,173.2188,67759,629304,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173219,173.22,175.5,1.8057753804342862,1622,0.003,,1
20/04/2016,173.25,174.2813,170.9688,171.1875,73990,630152,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171188,171.19,173.406,1.665915074991096,1623,0.003,,1
21/04/2016,171.3438,171.5938,169.7188,170.375,75440,625403,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170375,170.38,172.531,1.6759172024245672,1624,0.003,,1
22/04/2016,170.5,170.9063,169.75,170.0938,59319,623057,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170094,170.09,172.25,1.7302626533513903,1625,0.003,,1
25/04/2016,170.125,170.5625,169.125,169.5313,50654,622595,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169531,169.53,171.594,1.69996495845726,1626,0.003,,1
26/04/2016,169.2188,169.8438,168.3438,168.6563,69955,622011,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,168656,168.66,170.688,1.7862420181718355,1627,0.003,,1
27/04/2016,168.6875,170.4688,168.6563,170.375,64952,623163,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170375,170.38,172.469,1.842589237888519,1628,0.003,,1
28/04/2016,170.25,171.3125,169.4688,170.4375,81111,620107,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170438,170.44,172.563,1.8994856789095818,1629,0.003,,1
29/04/2016,170.8438,171.6563,169.3125,171.3438,97783,620240,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171344,171.34,173.5,1.91705634143842,1630,0.003,,1
02/05/2016,171,171.6563,169.5313,169.875,62727,616048,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169875,169.88,171.969,1.9796674780248464,1631,0.003,,1
03/05/2016,169.5938,172.4063,169.5938,171.7813,73352,620135,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171781,171.78,173.938,1.9839502617881466,1632,0.003,,1
04/05/2016,171.8438,172.7188,171.2813,172.3125,62006,620610,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172313,172.31,174.5,1.973693969704841,1633,0.003,,1
05/05/2016,172.5938,173.9063,171.8125,173.5938,68564,623781,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173594,173.59,175.844,1.941064562565927,1634,0.003,,1
06/05/2016,173.5625,174.9688,172.8438,173.0313,81008,625096,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173031,173.03,175.281,1.9448722471966944,1635,0.003,,1
09/05/2016,173,173.8125,172.5625,173.3125,72524,628238,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173313,173.31,175.563,1.9500656854875222,1636,0.003,,1
10/05/2016,173.75,173.8438,172.9688,173.4063,64473,627077,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173406,173.41,175.656,1.8879966884017358,1637,0.003,,1
11/05/2016,173.4063,174.9375,173.25,174.375,77047,625039,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174375,174.38,176.688,1.9090448024904811,1638,0.003,,1
12/05/2016,174.375,174.6563,173.0313,173.4375,82663,623616,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173438,173.44,175.656,1.7769295778343586,1639,0.003,,1
13/05/2016,173.8125,175.3438,173.7188,175.125,71249,623105,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,175125,175.13,177.469,1.805075613203666,1640,0.003,,1
16/05/2016,175.1875,175.4375,173.625,173.7813,55635,623302,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173781,173.78,176.031,1.7775440968508371,1641,0.003,,1
17/05/2016,173.8125,174.7188,173.375,174.1563,69708,625558,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174156,174.16,176.438,1.81095220567779,1642,0.003,,1
18/05/2016,173.7813,174.0625,171,171.125,118365,616730,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171125,171.13,173.219,1.7934468357651228,1643,0.003,,1
19/05/2016,171.7813,172.75,171.2188,172.6563,96875,611917,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172656,172.66,174.844,1.7831932895555467,1644,0.003,,1
20/05/2016,172.4063,172.875,171.6875,172.5,64302,607016,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172500,172.5,174.719,1.728112171624268,1645,0.003,,1
23/05/2016,172.5938,173.4688,172.3125,172.625,125049,547440,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172625,172.63,174.875,1.7089323575601079,1646,0.003,,1
24/05/2016,172.9375,173.2188,171.375,172.3125,222684,423007,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172313,172.31,174.531,1.693588791713016,1647,0.003,,1
25/05/2016,174.4688,174.8438,173.5938,173.6563,259041,354990,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173656,171.47,173.656,1.7126898649636704,1648,0.003,,1
26/05/2016,173.8438,175.1875,173.6875,175.0625,226322,488206,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,175063,172.78,175.063,1.7654718770202067,1649,0.003,,1
