Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
27/05/1994,105.4688,105.625,104.6875,105.4688,90030,188144,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105469,105.4688,104.3438,1.0754443125551458,2453,,0.002,,1,rates
30/05/1994,105.4688,105.625,104.6875,105.375,90030,178558,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105375,105.375,104.2188,1.0313356482771248,2454,,0.002,,1,rates
31/05/1994,104,104.2188,103.5,103.8125,72837,156498,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103813,104.9688,103.8125,0.9997754594943633,2455,,0.002,,1,rates
01/06/1994,103.6563,104.125,103.2188,104.125,61380,142025,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104125,105.3125,104.125,0.9394176224699732,2456,,0.002,,1,rates
02/06/1994,104.1875,104.5625,104.125,104.5625,84149,141440,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104563,105.7188,104.5625,0.928784695757738,2457,,0.002,,1,rates
03/06/1994,104.9375,105.4063,103.9375,105.2188,144703,150665,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105219,106.4063,105.2188,0.9263329082501205,2458,,0.002,,1,rates
06/06/1994,105.5625,105.9375,105.1875,105.7813,91421,155259,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105781,106.9375,105.7813,0.9490169094421519,2459,,0.002,,1,rates
07/06/1994,105.4688,105.7813,105.4063,105.5313,83421,162444,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105531,106.6875,105.5313,0.9627841656400155,2460,,0.002,,1,rates
08/06/1994,106,106.125,105.4375,105.4688,76808,168516,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105469,106.5938,105.4688,0.9737779818523734,2461,,0.002,,1,rates
09/06/1994,105.5,105.5938,105.2813,105.5,59466,175616,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105500,106.5938,105.5,0.9839930849725624,2462,,0.002,,1,rates
10/06/1994,105.5938,105.8125,105,105.1563,97680,186479,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105156,106.2813,105.1563,0.9455784305601028,2463,,0.002,,1,rates
13/06/1994,104.9375,105.2188,104.6875,104.875,54217,193540,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104875,106.0313,104.875,0.8315897335869403,2464,,0.002,,1,rates
14/06/1994,104.8438,105.5938,104.8125,105.4063,100627,206281,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105406,106.5938,105.4063,0.8004766975624895,2465,,0.002,,1,rates
15/06/1994,105.625,105.7188,104.6875,104.7188,94380,208217,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104719,105.9063,104.7188,0.7092987298079925,2466,,0.002,,1,rates
16/06/1994,104.7188,105,104.3125,104.9063,95308,213274,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104906,106.125,104.9063,0.6213498918542172,2467,,0.002,,1,rates
17/06/1994,105.1875,105.1875,104.2813,104.4063,81235,216732,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104406,105.625,104.4063,0.5877068612615638,2468,,0.002,,1,rates
20/06/1994,104.0625,104.5625,104,104.3125,69283,221307,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104313,105.5625,104.3125,0.5877068612615638,2469,,0.002,,1,rates
21/06/1994,104.25,104.3438,103.7188,103.8438,97047,231153,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103844,105.125,103.8438,0.6405004721106015,2470,,0.002,,1,rates
22/06/1994,104.125,104.6563,103.875,104.5625,93804,225159,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104563,104.5625,103.625,0.634359770430438,2471,,0.002,,1,rates
23/06/1994,104.5313,104.9688,104.4375,104.7188,69898,220373,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104719,104.7188,103.7813,0.5813403385056597,2472,,0.002,,1,rates
24/06/1994,104.3125,104.6875,103.7813,103.9063,81611,220584,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103906,103.9063,102.9688,0.5805977752918572,2473,,0.002,,1,rates
27/06/1994,103.5938,104.375,103.4063,104.2813,84220,220105,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104281,104.2813,103.375,0.5931846611923209,2474,,0.002,,1,rates
28/06/1994,104.1875,104.3125,103.4375,103.5938,87336,220232,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103594,103.5938,102.6563,0.6433483055653705,2475,,0.002,,1,rates
29/06/1994,103.5625,103.9375,103.4688,103.75,74512,218757,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103750,103.75,102.8125,0.6700007778158308,2476,,0.002,,1,rates
30/06/1994,103.6875,103.9375,102.9375,102.9688,93470,222256,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102969,102.9688,102.0625,0.7410517586110025,2477,,0.002,,1,rates
01/07/1994,103.1875,103.25,102.9375,102.9688,44261,223646,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102969,102.9688,102.0625,0.7928310300901251,2478,,0.002,,1,rates
04/07/1994,103.1875,103.25,102.9375,103.0625,44261,223646,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103063,103.0625,102.1563,0.8267460819020639,2479,,0.002,,1,rates
05/07/1994,102.9688,103.3438,102.9063,103.3125,41680,226098,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103313,103.3125,102.375,0.8487552163455275,2480,,0.002,,1,rates
06/07/1994,103.1563,103.4688,103,103.3125,67504,226911,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103313,103.3125,102.4063,0.8763290980602374,2481,,0.002,,1,rates
07/07/1994,103.5,103.6563,103.4063,103.4688,61190,224619,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103469,103.4688,102.5313,0.8952362703445347,2482,,0.002,,1,rates
08/07/1994,103.4063,103.4375,102.5,102.625,117480,227774,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102625,102.625,101.7188,0.9408548421198516,2483,,0.002,,1,rates
11/07/1994,102.4688,102.625,102.1563,102.3438,53350,230998,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102344,102.3438,101.4375,0.9598791810814916,2484,,0.002,,1,rates
12/07/1994,102.4688,102.9063,102.25,102.7188,102827,227450,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102719,102.7188,101.8125,0.9523698623820741,2485,,0.002,,1,rates
13/07/1994,102.875,103,102.5,102.8438,76064,224975,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102844,102.8438,101.9688,0.9289676957642969,2486,,0.002,,1,rates
14/07/1994,102.8125,104.125,102.7813,104.0938,138135,217349,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104094,104.0938,103.1875,0.8688384730433393,2487,,0.002,,1,rates
15/07/1994,103.9688,104.625,103.7188,104.0313,95458,212024,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104031,104.0313,103.125,0.8262513493122245,2488,,0.002,,1,rates
18/07/1994,104,104.5938,103.9375,104.4375,41501,212100,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104438,104.4375,103.5313,0.8069706601896592,2489,,0.002,,1,rates
19/07/1994,104.4063,104.9688,104.2813,104.9063,67878,212970,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104906,104.9063,103.9688,0.7704523431553678,2490,,0.002,,1,rates
20/07/1994,104.8438,105.0313,104,104.1875,105138,214344,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104188,104.1875,103.25,0.7500697749367004,2491,,0.002,,1,rates
21/07/1994,104.0313,104.1875,103.8125,103.9688,88854,213319,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103969,103.9688,103.0313,0.7119280457135989,2492,,0.002,,1,rates
22/07/1994,104,104.1875,103.7188,103.8438,56343,217460,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103844,103.8438,102.9063,0.697585732920033,2493,,0.002,,1,rates
25/07/1994,103.75,104.1563,103.7188,104.0625,46728,218891,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104063,104.0625,103.125,0.689928635034265,2494,,0.002,,1,rates
26/07/1994,104.0625,104.125,103.8125,103.9375,49150,221978,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103938,103.9375,102.9688,0.6911512328525344,2495,,0.002,,1,rates
27/07/1994,103.8438,103.9688,103.375,103.5,85285,225452,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103500,103.5,102.5,0.6666174921499098,2496,,0.002,,1,rates
28/07/1994,103.3438,103.9688,103.125,103.875,94603,228178,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103875,103.875,102.9063,0.62973314092047,2497,,0.002,,1,rates
29/07/1994,103.8125,105.25,103.7188,105.1563,157226,226062,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105156,105.1563,104.1563,0.7006904895222322,2498,,0.002,,1,rates
01/08/1994,104.8438,105.0938,104.6875,105.0625,48961,228124,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105063,105.0625,104.0938,0.745971786937624,2499,,0.002,,1,rates
02/08/1994,105.3438,105.6563,105.125,105.2188,89653,229499,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105219,105.2188,104.25,0.806382786630266,2500,,0.002,,1,rates
03/08/1994,105.0313,105.3125,104.9375,105.2813,64703,229965,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105281,105.2813,104.3125,0.8628578096111434,2501,,0.002,,1,rates
04/08/1994,105.2188,105.4063,105.0625,105.1563,59818,233434,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105156,105.1563,104.1875,0.8848936233282279,2502,,0.002,,1,rates
05/08/1994,105.125,105.75,103.9063,104.0938,145039,241497,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104094,104.0938,103.1563,0.8641920212585681,2503,,0.002,,1,rates
