Date,Open,High,Low,Close
2007-06-08,58.9,75.1,58.5,72.06
2007-06-15,75.88,97.1,75.33,90.23
2007-07-06,59.12,67.42,57.25,66.93
2007-07-13,72.06,98.62,71.14,88.28
2007-08-03,56.24,63.75,55.1,61.64
2007-08-10,63.49,80.37,63.05,79.02
2007-08-17,95.84,97.7,94.93,95.46
2007-09-07,56.12,73.4,53.88,72.19
2007-09-14,72.27,95.65,70.5,96.32
2007-10-05,56.95,65.17,54.34,61.81
2007-10-12,72.53,89.8,69.89,87.86
2007-11-02,54.5,55.46,52.75,51.88
2007-11-09,64.83,77.11,63.36,78.23
2007-11-16,80.6,90.39,80.55,90.02
2007-12-07,52.9,74.15,52.45,72.5
2007-12-14,76.85,95.14,76.79,94.39
2008-01-04,96.12,102.55,88.46,100.98
2008-01-11,114.6,143.33,95.95,98.53
2008-01-18,54.62,54.62,48.62,49.28
2008-02-01,96.05,100.0,96.05,99.62
2008-02-08,100.83,144.32,99.84,143.57
2008-02-15,117.89,118.6,46.82,46.96
2008-03-07,99.23,145.85,98.45,143.57
2008-03-14,110.24,110.3,46.26,46.79
2008-04-04,99.17,106.38,88.07,106.23
2008-04-11,124.23,145.85,62.25,70.53
2008-04-18,47.0,47.27,43.36,43.67
2008-05-02,89.98,90.0,87.5,88.41
2008-05-09,99.88,128.38,99.55,106.23
2008-05-16,70.0,70.46,40.5,40.81
2008-06-06,88.27,139.12,86.66,138.54
2008-06-13,118.75,120.49,60.16,60.77
2008-07-04,97.79,109.48,86.24,109.09
2008-07-11,121.76,144.53,59.97,61.04
2008-08-01,95.15,97.29,95.11,96.33
2008-08-08,88.29,142.44,88.0,115.2
2008-08-15,107.75,109.89,41.55,43.71
2008-09-05,96.07,126.25,94.97,125.96
2008-09-12,137.97,139.0,41.83,42.07
2008-10-03,95.19,107.05,92.78,107.9
2008-10-10,109.72,142.69,77.28,77.7
2008-10-17,61.8,65.56,44.28,43.52
2008-11-07,93.8,147.9,90.93,145.08
2008-11-14,115.4,117.08,45.82,47.98
2008-12-05,93.62,126.33,92.12,124.23
2008-12-12,137.17,138.09,46.48,46.28
2009-01-02,39.17,45.54,36.94,44.6
2009-01-09,48.96,71.85,47.26,68.05
2009-01-16,70.4,79.04,69.13,78.37
2009-02-06,43.72,69.05,39.83,68.55
2009-02-13,69.22,78.66,66.26,76.6
2009-03-06,40.28,68.95,39.44,66.12
2009-03-13,69.22,79.77,66.26,76.46
2009-04-03,40.93,45.76,39.74,45.38
2009-04-10,52.62,71.95,52.56,67.96
2009-04-17,79.47,81.06,74.85,75.47
2009-05-01,47.04,49.28,45.56,48.81
2009-05-08,40.3,72.1,39.46,71.97
2009-05-15,69.81,80.52,68.05,79.62
2009-06-05,48.4,56.47,38.6,56.34
2009-06-12,65.54,80.34,63.4,77.43
2009-07-03,48.41,49.09,42.41,42.63
2009-07-10,51.39,72.84,48.4,69.57
2009-07-17,75.8,76.1,73.7,73.93
2009-08-07,42.63,68.95,40.54,60.14
2009-08-14,68.11,74.39,67.91,72.62
2009-09-04,47.21,54.83,39.42,49.38
2009-09-11,68.69,80.19,60.32,79.43
2009-09-18,73.12,73.87,70.13,70.67
2009-10-02,45.89,47.72,43.61,37.55
2009-10-09,48.16,72.89,46.57,71.94
2009-10-16,79.83,81.12,71.6,70.54
2009-11-06,44.31,73.9,42.22,72.68
2009-11-13,70.76,80.7,68.71,69.87
2009-12-04,45.66,48.18,41.36,47.03
2009-12-11,59.08,80.34,58.72,76.94
2010-01-01,79.3,80.0,79.16,79.36
2010-01-08,72.75,85.37,71.64,72.95
2010-01-15,71.7,86.95,71.67,86.75
2010-02-05,74.94,85.37,74.4,84.87
2010-02-12,71.92,88.13,71.62,88.0
2010-03-05,76.98,87.15,76.52,86.19
2010-03-12,73.7,89.49,72.32,89.19
2010-04-02,79.76,81.79,72.42,73.14
2010-04-09,81.01,86.24,70.73,82.47
2010-04-16,81.68,86.83,80.77,86.49
2010-05-07,81.64,86.9,69.5,72.14
2010-05-14,82.44,87.43,81.15,86.85
2010-06-04,81.45,87.09,80.85,86.84
2010-06-11,79.63,84.09,71.09,83.23
2010-06-18,89.44,89.76,88.56,89.38
2010-07-02,83.19,83.36,82.26,82.66
2010-07-09,86.76,87.0,69.51,74.09
2010-07-16,83.27,90.76,81.0,88.69
2010-08-06,82.65,85.88,70.75,71.99
2010-08-13,74.85,88.99,73.37,88.28
2010-09-03,71.71,82.31,71.32,81.49
2010-09-10,85.58,86.37,72.03,74.25
2010-09-17,87.39,89.86,86.1,88.37
2010-10-08,74.14,83.36,72.97,80.25
2010-10-15,75.74,89.48,75.69,87.79
2010-11-05,83.37,84.45,73.8,76.37
2010-11-12,76.71,89.1,74.74,87.81
2010-12-03,82.69,83.47,73.09,81.24
2010-12-10,85.83,86.45,75.03,81.67
2010-12-17,88.25,88.32,85.0,84.88
2011-01-07,92.2,108.47,90.33,95.42
2011-01-14,96.2,101.17,88.21,100.2
2011-02-04,90.51,102.5,90.1,102.23
2011-02-11,113.89,114.83,85.42,92.51
2011-02-18,100.0,101.56,99.76,100.96
2011-03-04,91.31,102.94,90.0,101.91
2011-03-11,112.98,113.22,76.25,94.07
2011-04-01,91.5,92.07,88.36,89.38
2011-04-08,90.63,111.22,86.04,86.63
2011-04-15,76.4,94.93,74.95,94.26
2011-05-06,89.29,109.38,88.1,99.8
2011-05-13,94.97,102.44,76.94,100.99
2011-06-03,90.47,90.71,87.85,88.38
2011-06-10,107.99,109.15,79.08,82.59
2011-06-17,100.45,101.42,100.2,101.28
2011-07-01,88.18,89.48,87.25,88.03
2011-07-08,89.06,110.44,87.18,98.67
2011-07-15,86.5,101.94,81.52,100.49
2011-08-05,87.41,113.21,85.88,112.79
2011-08-12,99.58,101.89,80.17,98.34
2011-09-02,87.35,87.95,86.36,86.71
2011-09-09,105.94,106.78,75.71,87.24
2011-09-16,96.66,99.91,94.43,99.41
2011-10-07,90.11,106.42,89.28,99.29
2011-10-14,81.9,98.22,79.53,97.78
2011-11-04,90.67,114.05,88.7,109.92
2011-11-11,104.37,105.16,81.4,98.99
2011-12-02,92.35,93.46,91.89,91.86
2011-12-09,109.49,110.86,84.34,88.19
2011-12-16,85.45,99.87,84.71,97.77
2012-01-06,98.38,110.55,82.29,83.23
2012-01-13,88.03,93.33,85.92,87.09
2012-02-03,99.78,109.03,95.44,106.7
2012-02-10,103.27,106.05,82.1,91.89
2012-02-17,86.91,87.24,84.66,84.86
2012-03-02,99.7,103.18,96.01,97.84
2012-03-09,105.04,105.42,83.33,96.47
2012-03-16,91.64,91.82,87.7,89.09
2012-04-06,102.99,104.12,81.21,83.98
2012-04-13,83.67,97.37,83.33,88.5
2012-05-04,103.29,107.42,101.3,101.47
2012-05-11,84.14,96.03,83.31,85.65
2012-05-18,88.5,89.05,87.46,87.88
2012-06-01,101.35,102.8,100.88,101.56
2012-06-08,97.74,107.34,84.02,92.2
2012-06-15,96.0,97.71,85.42,86.26
2012-07-06,97.13,106.55,83.43,84.82
2012-07-13,92.05,96.74,84.05,85.93
2012-08-03,98.77,107.67,98.1,106.58
2012-08-10,97.96,98.12,82.0,89.33
2012-08-17,84.52,85.7,84.22,85.09
2012-09-07,102.14,108.65,84.0,85.99
2012-09-14,93.43,94.21,84.61,86.07
2012-10-05,101.56,103.6,96.42,97.08
2012-10-12,86.13,96.97,84.05,85.56
2012-11-02,102.43,102.64,100.78,100.87
2012-11-09,101.45,103.62,81.43,97.17
2012-11-16,91.58,93.33,85.76,85.79
2012-12-07,101.19,107.94,81.39,86.08
2012-12-14,97.27,98.38,85.78,86.77
2013-01-04,90.41,98.15,90.0,97.07
2013-01-11,93.08,108.06,90.11,94.61
2013-02-01,91.78,93.87,91.56,93.12
2013-02-08,97.0,108.82,90.65,106.94
2013-02-15,108.17,108.75,92.56,93.82
2013-03-01,92.91,93.3,92.49,92.92
2013-03-08,96.93,102.18,91.26,99.6
2013-03-15,107.07,108.83,93.67,96.04
2013-04-05,92.86,97.76,89.33,93.26
2013-04-12,93.35,108.61,92.38,97.2
2013-05-03,96.13,97.07,90.02,90.82
2013-05-10,93.36,108.54,91.91,108.37
2013-05-17,94.47,97.99,93.07,97.38
2013-06-07,96.64,97.17,89.55,94.76
2013-06-14,106.48,110.7,93.65,97.65
2013-07-05,93.21,97.21,90.7,95.62
2013-07-12,94.72,105.77,93.72,94.2
2013-08-02,93.32,96.57,92.67,95.72
2013-08-09,91.89,104.96,91.3,103.4
2013-08-16,102.93,103.88,93.9,94.6
2013-09-06,93.61,96.99,93.13,96.39
2013-09-13,102.84,110.46,97.1,97.34
2013-10-04,93.6,95.16,93.53,94.64
2013-10-11,96.33,107.96,93.62,103.01
2013-10-18,97.43,98.9,97.41,98.51
2013-11-01,94.29,94.53,93.06,93.56
2013-11-08,96.31,106.53,91.36,104.91
2013-11-15,106.4,107.13,94.45,97.44
2013-12-06,97.48,98.32,90.62,95.88
2013-12-13,104.08,108.24,93.3,97.5
2014-01-03,99.25,99.39,98.15,98.42
2014-01-10,101.53,106.09,90.47,90.73
2014-01-17,66.0,69.54,63.72,69.0
2014-02-07,98.5,105.53,95.34,104.48
2014-02-14,95.81,95.89,66.67,66.88
