Date,AD1_alpha_forecast,AD1_one_perc_change,AD1_block_value,AD1_price_volatility,AD1_cash_vol_daily,AD1_std_dev,AD1_icv,AD1_ivv,AD1_vol_scalar,AD1_alpha_subsystem_position,AD1_alpha_trades_needed,AD1_alpha_target_pos,AD1_daily_instrument_pnls,AD1_daily_current_pnls,RX1_alpha_forecast,RX1_one_perc_change,RX1_block_value,RX1_price_volatility,RX1_cash_vol_daily,RX1_std_dev,RX1_icv,RX1_ivv,RX1_vol_scalar,RX1_alpha_subsystem_position,RX1_alpha_trades_needed,RX1_alpha_target_pos,RX1_daily_instrument_pnls,RX1_daily_current_pnls,AUM
2025-01-27,-1.67217922256908,0.6285000000000001,628.5000000000001,0.63,445627.16112327203,0.3964033089185849,395.9550000000001,256.77681750000005,1735.4649281112456,-290.2008394284967,-1954.4155772205877,-215.9094245348016,1228350.1902831444,-512859.31504230987,8.074045645733401,1.6491,1649.1,0.34,445627.16112327203,0.5569613990051747,560.694,634.0327752,702.8456233712885,567.480764500373,-39.735629958432014,633.3085331824162,65528.027364450405,-107687.06610253343,36944051.10750936
2025-01-28,-1.3543590071678002,0.62555,625.5500000000001,0.64,461800.638843867,0.3981988615272551,400.35200000000003,259.628272,1778.699350754324,-240.89974867376372,-1914.6943411245259,-179.22941301328024,1197737.0450904549,-511962.1537928204,6.690135254786195,1.6508000000000003,1650.8000000000002,0.33,461800.638843867,0.5516345408406861,544.7640000000001,616.0191312000002,749.6530796767353,501.52804972043714,-143.14031988328065,559.7053034880079,236296.04006332025,119483.75597313023,38378084.19266313
2025-01-29,-2.465960213224493,0.6232500000000001,623.2500000000001,0.64,479726.05240828916,0.3983687571270304,398.8800000000001,258.67368000000005,1854.5607439005355,-457.32730074667387,-2118.9508625098497,-340.25151175552537,1320636.1250592612,-409100.850673489,7.045424040262728,1.6518000000000002,1651.8000000000002,0.33,479726.05240828916,0.5430445039913683,545.094,616.3922952,778.2804167800849,548.3315558448105,-137.71506335392678,611.9380163228085,227477.74164801743,74965.30796766927,39926198.05937041
2025-01-30,-3.6661071369991727,0.6239,623.9,0.64,499077.4757421302,0.399099820414558,399.296,258.94345599999997,1927.3608356495029,-706.5911315147332,-2380.264545747497,-525.7038018469615,1485047.0500918608,120546.44835353059,7.607929592887469,1.6566999999999998,1656.6999999999998,0.35,499077.4757421302,0.585007122448338,579.8449999999999,655.688726,761.1500029697479,579.077563221993,-132.02985622434073,646.2505605557442,218733.8628068654,381357.4042222266,41629978.97226914
2025-01-31,-4.327476548104023,0.62165,621.6500000000001,0.64,520374.7371533643,0.3993747195991917,397.85600000000005,258.009616,2016.881173736425,-872.8005979656895,-2576.724480535976,-649.363644886473,1601820.7733251958,-433656.1880211409,10.116522180462736,1.655,1655.0,0.36,520374.7371533643,0.5898451774112756,595.8,673.73064,772.3780191344189,781.377936227522,110.86777386016672,872.0177768299146,183486.16573857606,-129395.50050484763,43415285.91133291
2025-02-03,-5.413685373130043,0.6184000000000001,618.4000000000001,0.66,542691.0738916615,0.4084243095788239,408.14400000000006,264.68138400000004,2050.3560382307105,-1109.9982493878463,-2842.7198712809827,-825.8386975445578,1757937.9684001629,-655486.3814643295,9.716009015158498,1.6528,1652.8,0.35,542691.0738916615,0.5712121613861053,578.4799999999999,654.1451839999999,829.6186950016001,806.0582719779575,127.18301239298171,899.5610315274006,210208.08288312188,-169923.1642095713,45383431.9626162
2025-02-04,-7.123402409605938,0.62605,626.05,0.66,567292.8995327025,0.4145050260912808,413.193,267.95566049999996,2117.1148184522217,-1508.1060799174995,-3172.3869616893303,-1122.0309234586198,1986072.8573656029,1568522.36924648,7.60761931445998,1.6549,1654.9,0.33,567292.8995327025,0.554173558838237,546.1170000000001,617.5491036000001,918.6199060539004,698.8510539943065,-49.70091874395405,779.9177762576461,82250.05042936944,174219.92595034264,47451754.87041117
2025-02-05,-4.446286824723148,0.62865,628.6500000000001,0.67,593146.9358801397,0.4238857943537605,421.1955000000001,273.14528175000004,2171.5437736282247,-965.5306469992762,-2835.4696198196834,-718.3548013674616,1782517.9764996448,550449.8527975884,7.992044545262154,1.6551,1655.1,0.35,593146.9358801397,0.5788474179915287,579.285,655.055478,905.4911466294764,723.6725579203279,-111.00133141481444,807.618574639086,183718.3036246599,18372.3981210613,49417991.15053548
2025-02-06,-2.564832487228548,0.6282500000000001,628.2500000000001,0.68,617724.8893816936,0.4289471606793837,427.2100000000001,277.04568500000005,2229.686015076154,-571.8771127786482,-2597.020345535539,-425.4765719073143,1631578.0320827058,-86861.75094512713,8.043873050400563,1.6636000000000002,1663.6000000000001,0.4,617724.8893816936,0.6666750832668294,665.44,752.4795520000001,820.919170148684,660.3369589316194,-168.55510046178904,736.9360461676873,280408.26512823266,769667.4746350755,51329977.44774642
2025-02-07,-1.474366998098254,0.62745,627.4499999999999,0.69,641624.7180968303,0.4348493992041723,432.94049999999993,280.76191424999996,2285.298274200773,-336.9368356292514,-2480.367020784317,-250.68100570816307,1556306.2871911274,-178374.88120610436,11.04862936108124,1.6675,1667.5,0.45,641624.7180968303,0.7540749299520809,750.375,848.52405,756.1656244119779,835.4593719718508,111.45348897190149,932.3726591205855,185848.6928606446,320158.47635797557,53072132.42779819
