date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2017-04-29,-0.24428480730730143,0.3047776865394752
2017-05-06,-0.2100694149085527,0.3120516289587292
2017-05-13,-0.1970055450682238,0.23599499758201903
2017-05-20,-0.17129313948394942,0.22321909553550692
2017-05-27,0.7806742265694439,0.19721259136436844
2017-06-03,0.7871890904165953,0.17643383706011814
2017-06-10,0.7790720155531723,0.1492413284467678
2017-06-17,0.6892702093210159,0.14431558006371453
2017-06-24,0.6653399296135337,0.14179719940168398
2017-07-01,0.3806746987494211,0.0869328800419192
2017-07-08,0.3956529612781988,0.08915607210523756
2017-07-15,0.3698513505185363,0.08298770249087724
2017-07-22,0.3723632048626235,0.08434640856730694
2017-07-29,0.37783138723508514,0.10857956410660186
2017-08-05,0.4328659523101966,0.09437211495664893
2017-08-12,0.4324159723990069,0.09408815071245104
2017-08-19,0.34732820176876905,0.08521081143295943
2017-08-26,0.3354462644669961,0.054998781998379424
2017-09-02,0.38150683510299827,0.06964307297903806
2017-09-09,0.3637071216331421,0.1238217101634278
2017-09-16,0.3336903860433346,0.1279902536771403
2017-09-23,0.3414476548340982,0.13346940739419347
2017-09-30,0.3131743686956002,0.13191148668755728
2017-10-07,0.31196615463192084,0.12536905112592256
2017-10-14,0.09493789757990186,0.12074934049756982
2017-10-21,0.14504164489418525,0.01060275167715285
2017-10-28,0.22841532742189447,-0.0706127633073016
2017-11-04,0.21619894972252757,-0.06024390531410892
2017-11-11,0.2127521711160076,-0.047910525162753514
2017-11-18,0.20493230546793945,-0.0242465633514935
2017-11-25,0.21893357505833888,0.4927837455163674
2017-12-02,0.19871723081486864,0.4874969587489157
2017-12-09,0.2069862725523895,0.48844749661990433
2017-12-16,0.28019423579579267,0.4977318518321923
2017-12-23,0.45555419973963074,0.5454625982194921
2017-12-30,0.7549365214271522,0.5469360886902582
2018-01-06,0.7476990103202005,0.5501325773634842
2018-01-13,0.7410210671200747,0.5424783109081158
2018-01-20,0.165663097273166,0.24744484611111814
2018-01-27,-0.4329857244641389,-0.17687939926078125
2018-02-03,-0.304873883674715,-0.08125518116929072
2018-02-10,-0.3075347658989615,-0.08154142253097221
2018-02-17,-0.19310014451433558,-0.05111044711799468
2018-02-24,-0.21713909000889803,-0.06444884854949297
2018-03-03,-0.23301730527385842,-0.06572981426527467
2018-03-10,0.02436903556457723,0.08699889507343116
2018-03-17,0.02940401436377923,0.08169301784993395
2018-03-24,0.026514025948526164,0.0799796427346667
2018-03-31,0.019623691582803002,0.06761495441146467
2018-04-07,0.011591447186956793,0.062382784898551695
2018-04-14,0.025579497489533372,0.025515520454343753
2018-04-21,0.002554195489139332,0.019846348889913875
