date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2016-06-25,dax,0.0,0.999999,1,0.1617390498810589,-0.0149814036652579,-0.002423077994703426,0.1617390498810589
2016-06-25,sx5e,0.0,0.6962025316455697,1,0.11133502890015799,-0.0156257587424472,-0.0017396943011772556,0.07737271064627455
2016-07-02,spx,1.0,0.5980167810831426,1,0.0,0.0149490586412506,0.0,0.0
2016-07-02,ndx,1.0,0.5980167810831426,1,0.0,0.0135744507945481,0.0,0.06458134188700457
2016-07-02,dax,1.0,0.5980167810831426,1,0.0,0.0454055491055758,0.0,0.1617390498810589
2016-07-02,sx5e,1.0,0.5980167810831426,1,0.040000485928147075,0.0425086592365777,0.0017003670256171255,0.07133454297201092
2016-07-09,spx,1.0,0.6014652014652017,1,0.0,0.0061478253629023,0.0,0.0
2016-07-09,ndx,1.0,0.6014652014652017,1,0.07682008944770356,0.0166106369952698,0.00127603061975996,0.07682008944770356
2016-07-09,dax,1.0,0.6811594202898551,1,0.07589989874378793,0.0080024635190574,0.0006073861707973135,0.07589989874378793
2016-07-09,sx5e,1.0,0.6014652014652017,1,0.04296810931154346,0.0045899312186301,0.00019722066633456404,0.0029676233833963866
2016-07-16,spx,0.0,0.645320197044335,1,0.18471551005982872,-0.0006574621959238,-0.00012144346486511977,0.18471551005982872
2016-07-16,ndx,1.0,0.645320197044335,1,0.20358397234415182,0.0137503295064154,0.0027993467019570475,0.12676388289644824
2016-07-16,dax,1.0,0.8181818181818182,1,0.20586166747892168,0.0187278392819485,0.003855344222859169,0.12996176873513376
2016-07-16,sx5e,1.0,0.645320197044335,1,0.09616013499024934,0.006234376209109,0.0005994984578479203,0.05319202567870587
2016-07-23,spx,1.0,0.6403508771929824,1,0.20701963971327741,0.004264814133235,0.0008829002853064032,0.02230412965344869
2016-07-23,ndx,1.0,0.6630434782608695,1,0.3173900762624196,0.0128915507279774,0.004091650268693598,0.11380610391826779
2016-07-23,dax,1.0,0.6630434782608695,1,0.1325104812575526,0.0028740024183795,0.00038083544359483756,0.07335118622136907
2016-07-23,sx5e,0.0,0.6630434782608695,1,0.14138651935222024,-0.0057008920809427,-0.0008060292885271243,0.045226384361970906
2016-07-30,spx,1.0,0.6483516483516484,1,0.2391126470255367,0.0005405727322287,0.00012925777691303111,0.03209300731225928
2016-07-30,ndx,1.0,0.6483516483516484,1,0.2983471146893564,0.0033123156780854,0.000988219825497098,0.019042961573063233
2016-07-30,dax,1.0,0.75,1,0.32072999271740626,0.0333956773326673,0.010710995347699233,0.18821951145985366
2016-07-30,sx5e,1.0,0.75,1,0.2720181239148408,0.0239532435913387,0.006515716383391137,0.13063160456262057
2016-08-06,spx,0.0,0.6402439024390244,1,0.24852715254196675,-8.241569561151518e-05,-2.0482538155095334e-05,0.009414505516430055
2016-08-06,ndx,0.0,0.6402439024390244,1,0.22327279569808742,-0.0001955449045989,-4.365985753431219e-05,0.07507431899126896
2016-08-06,dax,0.0,0.6402439024390244,1,0.1885926076374577,-0.0157811270526805,-0.002976203902323043,0.13213738507994857
2016-08-06,sx5e,0.0,0.6402439024390244,1,0.15998265074799276,-0.0252024670436856,-0.0040319574830377505,0.11203547316684806
2016-08-13,spx,0.0,0.6136363636363636,1,0.0,-0.0067906972484625,-0.0,0.24852715254196675
2016-08-13,ndx,0.0,0.6136363636363636,1,0.15559947128465554,-0.0046711082074181,-0.0007268219673876715,0.06767332441343188
2016-08-13,dax,1.0,0.75,1,0.288109483499071,0.0041168928223238,0.0011861158646607427,0.09951687586161331
2016-08-13,sx5e,1.0,0.8181818181818182,1,0.3202494162836975,0.0142038946162659,0.004548788959814308,0.16026676553570476
2016-08-20,spx,1.0,0.6229508196721312,1,0.16075008063192614,0.0050437059713053,0.0008107761415710543,0.16075008063192614
