Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
12/06/2013,7730,7775,7710,7760,1125,208944,XU1 Index,Future,SGX,USD,1,1,1,7760,7760,7715,179.35811476858342,638,0.0237,,1
13/06/2013,7645,7670,7395,7475,83856,208328,XU1 Index,Future,SGX,USD,1,1,1,7475,7475,7410,212.18859535801397,639,0.0237,,1
14/06/2013,7480,7515,7400,7490,51001,204966,XU1 Index,Future,SGX,USD,1,1,1,7490,7490,7425,235.58402605724416,640,0.0237,,1
17/06/2013,7495,7550,7455,7475,48362,207975,XU1 Index,Future,SGX,USD,1,1,1,7475,7475,7415,257.17665783142195,641,0.0237,,1
18/06/2013,7480,7520,7420,7495,42448,201655,XU1 Index,Future,SGX,USD,1,1,1,7495,7495,7435,274.27677626807366,642,0.0237,,1
19/06/2013,7495,7515,7320,7375,52506,198597,XU1 Index,Future,SGX,USD,1,1,1,7375,7375,7315,297.8762326873477,643,0.0237,,1
20/06/2013,7390,7395,7190,7190,66816,193396,XU1 Index,Future,SGX,USD,1,1,1,7190,7190,7125,331.21531264924965,644,0.0237,,1
21/06/2013,7190,7240,7030,7200,67796,192671,XU1 Index,Future,SGX,USD,1,1,1,7200,7200,7120,350.7685609249212,645,0.0237,,1
24/06/2013,7185,7195,6725,6795,143623,155916,XU1 Index,Future,SGX,USD,1,1,1,6795,6795,6710,396.69289128998366,646,0.0237,,1
25/06/2013,6700,6710,6280,6635,238310,132421,XU1 Index,Future,SGX,USD,1,1,1,6635,6675,6635,447.3284587414562,647,0.0237,,1
26/06/2013,6630,6750,6525,6660,117134,171348,XU1 Index,Future,SGX,USD,1,1,1,6660,6745,6660,480.79578131816,648,0.0237,,1
27/06/2013,6665,6775,6580,6630,88344,186511,XU1 Index,Future,SGX,USD,1,1,1,6630,6735,6630,512.9956952386051,649,0.0237,,1
28/06/2013,6640,6910,6590,6825,91751,192231,XU1 Index,Future,SGX,USD,1,1,1,6825,6825,6810,523.274386276779,650,0.0237,,1
01/07/2013,6820,6850,6670,6800,26902,177561,XU1 Index,Future,SGX,USD,1,1,1,6800,6800,6785,529.5300589516515,651,0.0237,,1
02/07/2013,6815,6835,6675,6755,47980,176323,XU1 Index,Future,SGX,USD,1,1,1,6755,6755,6745,526.9705083462192,652,0.0237,,1
03/07/2013,6745,6760,6600,6635,69702,179225,XU1 Index,Future,SGX,USD,1,1,1,6635,6635,6625,529.1461675819569,653,0.0237,,1
04/07/2013,6630,6850,6630,6770,56507,178332,XU1 Index,Future,SGX,USD,1,1,1,6770,6770,6760,516.3592902879468,654,0.0237,,1
05/07/2013,6775,6900,6765,6815,43843,177938,XU1 Index,Future,SGX,USD,1,1,1,6815,6815,6800,499.64337281705764,655,0.0237,,1
08/07/2013,6805,6865,6625,6740,54280,178399,XU1 Index,Future,SGX,USD,1,1,1,6740,6740,6745,483.20475301194875,656,0.0237,,1
09/07/2013,6735,6775,6690,6715,34870,176011,XU1 Index,Future,SGX,USD,1,1,1,6715,6715,6705,463.73322072071227,657,0.0237,,1
10/07/2013,6720,6900,6685,6885,63895,174580,XU1 Index,Future,SGX,USD,1,1,1,6885,6885,6865,437.133846779227,658,0.0237,,1
11/07/2013,6885,7355,6865,7260,97162,167252,XU1 Index,Future,SGX,USD,1,1,1,7260,7260,7245,411.9872570844936,659,0.0237,,1
12/07/2013,7275,7315,7080,7135,60236,160902,XU1 Index,Future,SGX,USD,1,1,1,7135,7135,7115,390.89107604719993,660,0.0237,,1
15/07/2013,7120,7300,7090,7160,57847,158821,XU1 Index,Future,SGX,USD,1,1,1,7160,7160,7150,367.24560355889594,661,0.0237,,1
16/07/2013,7160,7180,7035,7135,44212,155845,XU1 Index,Future,SGX,USD,1,1,1,7135,7135,7125,340.03100348841383,662,0.0237,,1
17/07/2013,7135,7215,7080,7100,42133,157518,XU1 Index,Future,SGX,USD,1,1,1,7100,7100,7090,305.00341528143184,663,0.0237,,1
18/07/2013,7085,7135,6940,6965,59551,168713,XU1 Index,Future,SGX,USD,1,1,1,6965,6965,6945,288.9612142370278,664,0.0237,,1
19/07/2013,6965,6995,6730,6785,74414,166769,XU1 Index,Future,SGX,USD,1,1,1,6785,6785,6765,271.56230101642853,665,0.0237,,1
22/07/2013,6785,6945,6695,6760,58891,156417,XU1 Index,Future,SGX,USD,1,1,1,6760,6760,6745,251.70369484773934,666,0.0237,,1
23/07/2013,6765,7020,6760,6955,82947,142650,XU1 Index,Future,SGX,USD,1,1,1,6955,6955,6940,222.57526816788024,667,0.0237,,1
24/07/2013,6950,6985,6745,6870,80372,132016,XU1 Index,Future,SGX,USD,1,1,1,6870,6870,6850,200.13537085350603,668,0.0237,,1
25/07/2013,6880,6945,6800,6855,74835,118796,XU1 Index,Future,SGX,USD,1,1,1,6855,6855,6845,189.95898680154707,669,0.0237,,1
26/07/2013,6840,6840,6755,6805,64789,90908,XU1 Index,Future,SGX,USD,1,1,1,6805,6820,6805,177.7116109506362,670,0.0237,,1
29/07/2013,6805,6815,6615,6680,108308,134512,XU1 Index,Future,SGX,USD,1,1,1,6680,6690,6680,180.8652813560513,671,0.0237,,1
30/07/2013,6680,6845,6665,6735,62754,144926,XU1 Index,Future,SGX,USD,1,1,1,6735,6745,6735,176.90086677761158,672,0.0237,,1
31/07/2013,6745,6895,6715,6735,42461,146592,XU1 Index,Future,SGX,USD,1,1,1,6735,6735,6720,174.0299303759853,673,0.0237,,1
01/08/2013,6735,6935,6710,6905,64930,162437,XU1 Index,Future,SGX,USD,1,1,1,6905,6905,6905,167.43954132761965,674,0.0237,,1
02/08/2013,6905,7030,6880,6890,33241,159531,XU1 Index,Future,SGX,USD,1,1,1,6890,6890,6885,167.19674039885962,675,0.0237,,1
05/08/2013,6895,6990,6870,6965,31581,158456,XU1 Index,Future,SGX,USD,1,1,1,6965,6965,6955,167.41863695539894,676,0.0237,,1
06/08/2013,6960,7015,6850,6965,47967,165595,XU1 Index,Future,SGX,USD,1,1,1,6965,6965,6955,166.1279627275423,677,0.0237,,1
07/08/2013,6955,7055,6895,6900,51357,162327,XU1 Index,Future,SGX,USD,1,1,1,6900,6900,6890,157.48888849694666,678,0.0237,,1
08/08/2013,6905,7005,6895,6910,47173,164181,XU1 Index,Future,SGX,USD,1,1,1,6910,6910,6900,155.1679197944506,679,0.0237,,1
09/08/2013,6905,6995,6850,6940,58755,161116,XU1 Index,Future,SGX,USD,1,1,1,6940,6940,6945,154.15765739442548,680,0.0237,,1
12/08/2013,6940,7190,6935,7175,78742,162633,XU1 Index,Future,SGX,USD,1,1,1,7175,7175,7165,158.65397358193442,681,0.0237,,1
